pair,name,base
GMT/USDT,GMT,GMT
GMX/USDT,GMX,GMX
GNO/USDT,Gnosis,GNO
GNS/USDT,Gains Network,GNS
GNY/USDT,GNY,GNY
GOC/USDT,GoCrypto Token,GOC
GOC/ETH,GoCrypto Token,GOC
GODS/USDT,Gods Unchained,GODS
GOMINING/USDT,Gomining,GOMINING
GOMT/USDT,GoMeat,GOMT
GORILLA/USDT,Gorilla,GORILLA
GPT/USDT,QnA3.AI,GPT
GQ/USDT,Blink Galaxy,GQ
GRAIL/USDT,Camelot Token,GRAIL
GROK/USDT,Grok,GROK
GRP/USDT,Grape,GRP
GRT/USDT,The Graph,GRT
GRUM/USDT,Grumpy (Ordinals),GRUM
GRV/USDT,Grove Coin,GRV
GSX/USDT,Gold Secured Currency,GSX
GTAI/USDT,GT Protocol,GTAI
GTC/USDT,Gitcoin,GTC
GUILD/USDT,BlockchainSpace,GUILD
GYMNET/USDT,Gym Network,GYMNET
HAM/USDT,Hamster,HAM
HBAR/USDT,Hedera,HBAR
HELLO/USDT,HELLO Labs,HELLO
HFT/USDT,Hashflow,HFT
HGPT/USDT,HyperGPT,HGPT
HI/USDT,HI,HI
HIFI/USDT,Hifi Finance,HIFI
HIGH/USDT,Highstreet,HIGH
HMND/USDT,Humanode,HMND
HMT/USDT,Human,HMT
HNT/USDT,Helium,HNT
HNTR/USDT,Hunter Token / Digital Arms,HNTR
HONEY/USDT,Hivemapper,HONEY
HOOK/USDT,Hooked Protocol,HOOK
HOT/ETH,Holo,HOT
HOT/USDT,Holo,HOT
HUAHUA/USDT,Chihuahua,HUAHUA
HUT/USDT,Hibiki Run,HUT
HYPER/USDT,HyperChainX,HYPER
HYPR/USDT,Hypr Network,HYPR
ICENETWORK/USDT,Ice Network,ICENETWORK
ICP/USDT,Internet Computer,ICP
ID/USDT,SPACE ID,ID
IDNA/USDT,Idena,IDNA
ILV/USDT,Illuvium,ILV
IMPT/USDT,IMPT,IMPT
IMX/USDT,Immutable,IMX
INAE/USDT,iNAE,INAE
INJ/USDT,Injective,INJ
INS/USDT,Inscribe,INS
IOST/USDT,IOST,IOST
IPX/USDT,InpulseX(New),IPX
IQ/USDT,IQ,IQ
IRON/USDT,Iron Fish,IRON
ISP/USDT,Ispolink,ISP
IUX/USDT,GeniuX,IUX
IXS/USDT,IX Swap,IXS
JAM/USDT,Tune.FM,JAM
JASMY/USDT,JasmyCoin,JASMY
JOE/USDT,JOE,JOE
JOY/USDT,Joystream,JOY
JST/USDT,JUST,JST
JTO/USDT,Jito,JTO
JUP/USDT,Jupiter,JUP
KAS/USDT,Kaspa,KAS
KATA/USDT,Katana Inu,KATA
KAVA/USDT,Kava,KAVA
KCS/USDT,KuCoin Token,KCS
KDOE/USDT,Kudoe,KDOE
KEKE/USDT,KEK,KEKE
KEY/USDT,SelfKey,KEY
KISHU/USDT,Kishu Inu,KISHU
KLAY/USDT,Klaytn,KLAY
KNC/USDT,Kyber Network Crystal v2,KNC
KOM/USDT,Kommunitas,KOM
KSM/USDT,Kusama,KSM
KSN/USDT,KISSAN,KSN
LADYS/USDT,Milady Meme Coin,LADYS
LAT/USDT,PlatON,LAT
LAYER/USDT,UniLayer,LAYER
LAZIO/USDT,S.S. Lazio Fan Token,LAZIO
LBT/USDT,Law Blocks (AI),LBT
LDO/USDT,Lido DAO,LDO
LDO/USDC,Lido DAO,LDO
LEASH/USDT,Doge Killer,LEASH
LEOX/USDT,LEOX,LEOX
LIF3/USDT,LIF3,LIF3
LIGO/USDT,LIGO,LIGO
LILFLOKI/USDT,Lil Floki,LILFLOKI
LIMO/USDT,Limoverse,LIMO
LINK/USDT,Chainlink,LINK
LINK/BTC,Chainlink,LINK
LINK/ETH,Chainlink,LINK
LIT/USDT,Litentry,LIT
LITH/USDT,Lithium,LITH
LIXX/USDT,Libra Incentix,LIXX
LMWR/USDT,LimeWire,LMWR
LNR/USDT,Lunar,LNR
LOKA/USDT,League of Kingdoms Arena,LOKA
LON/USDT,Tokenlon Network Token,LON
LOOKS/USDT,LooksRare,LOOKS
LOOM/USDT,Loom Network,LOOM
LOPES/USDT,Leandro Lopes,LOPES
LOVE/USDT,Deesse,LOVE
LOVELY/USDT,Lovely Inu Finance,LOVELY
LPT/USDT,Livepeer,LPT
LQTY/USDT,Liquity,LQTY
LRC/USDT,Loopring,LRC
LSD/USDT,L7,LSD
LTC/USDT,Litecoin,LTC
LTC/ETH,Litecoin,LTC
LTC/USDC,Litecoin,LTC
LTC/BTC,Litecoin,LTC
LUNA/USDT,Terra,LUNA
LUNC/USDT,Terra Classic,LUNC
LUXY/USDT,LUXY,LUXY
LWC/USDT,Linework Coin,LWC
MAGA/USDT,MAGA,MAGA
MAGASOL/USDT,MAGA (Solana),MAGASOL
MAGIC/USDT,Treasure,MAGIC
MANA/USDT,Decentraland,MANA
MANDOX/USDC,Mandox Token,MANDOX
MANTA/USDT,Manta Network,MANTA
MASK/USDT,Mask Network,MASK
MATH/USDT,MATH,MATH
MATIC/BTC,Polygon,MATIC
MATIC/USDC,Polygon,MATIC
MATIC/USDT,Polygon,MATIC
MAV/USDT,Maverick Protocol,MAV
MAVIA/USDT,Heroes of Mavia,MAVIA
MAX/USDT,Maxity,MAX
MCADE/USDT,Metacade,MCADE
MCONTENT/USDT,MContent,MCONTENT
MCRT/USDT,MagicCraft,MCRT
MDT/USDT,Measurable Data Token,MDT
MEAN/USDT,Mean DAO,MEAN
MEME/USDT,Memecoin,MEME
MEMEAI/USDT,Meme Ai,MEMEAI
MEMEBRC/USDT,meme (Ordinals),MEMEBRC
MEMEMINT/USDT,MEME MINT,MEMEMINT
MEOW/USDT,ZERO,MEOW
METANO/USDT,Metano,METANO
METIS/USDT,Metis,METIS
MGT/USDT,Megatech,MGT
MHUNT/USDT,MetaShooter,MHUNT
MIA/USDT,MIA,MIA
MICE/USDT,Mice (Ordinals),MICE
MILO/USDT,Milo Inu,MILO
MINA/USDT,Mina,MINA
MIR/USDT,Mirror Protocol,MIR
MKR/BTC,Maker,MKR
ML/USDT,Mintlayer,ML
MLXC/USDT,Marvellex Classic,MLXC
MMAI/USDT,MetamonkeyAi,MMAI
MMSS/USDT,MMSS (Ordinals),MMSS
MNDE/USDT,Marinade,MNDE
MNT/USDT,Mantle,MNT
MNTC/USDT,Minati Coin,MNTC
MOBILE/USDT,Helium Mobile,MOBILE
MONG/USDT,MongCoin,MONG
MOVEZ/USDT,MOVEZ,MOVEZ
MRHB/USDT,MRHB DeFi Network,MRHB
MTH/USDT,Monetha,MTH
MTVT/USDT,Metaverser,MTVT
MUBI/USDT,Multibit,MUBI
MXC/USDT,MXC,MXC
MYRIA/USDT,Myria,MYRIA
MYRO/USDT,Myro,MYRO
MZR/USDT,Mazuri GameFi,MZR
NBLU/USDT,NuriTopia,NBLU
NEAR/USDT,NEAR Protocol,NEAR
NEI/USDT,Neurashi,NEI
NEO/ETH,Neo,NEO
NEO/USDT,Neo,NEO
NEON/USDT,Neon EVM,NEON
NEPT/USDT,Metanept,NEPT
NetZ/USDT,MainnetZ,NETZ
NEXO/USDT,Nexo,NEXO
NEXT/USDT,Connext Network,NEXT
NFP/USDT,NFPrompt,NFP
NINJA/USDT,Dog Wif Nunchucks,NINJA
NMR/USDT,Numeraire,NMR
NMT/USDT,NetMind Token,NMT
NRK/USDT,Nordek,NRK
NTRN/USDT,Neutron,NTRN
NULS/USDT,NULS,NULS
OAS/USDT,Oasys,OAS
OBI/USDT,Orbofi AI,OBI
OCEAN/USDT,Ocean Protocol,OCEAN
OKB/USDT,OKB,OKB
OLAS/USDT,Autonolas,OLAS
OLE/USDT,OpenLeverage,OLE
OM/USDT,MANTRA,OM
OMAX/USDT,Omax Coin,OMAX
OMG/BTC,OMG Network,OMG
OMMI/USDT,Ommniverse,OMMI
OMN/USDT,Omega Network,OMN
OMNIA/USDT,OmniaVerse,OMNIA
ONDO/USDT,Ondo,ONDO
ONG/USDT,Ontology Gas,ONG
ONI/USDT,ONINO,ONI
ONT/BTC,Ontology,ONT
OORT/USDT,OORT,OORT
OP/USDT,Optimism,OP
OP/USDC,Optimism,OP
OPUL/USDT,Opulous,OPUL
ORBS/USDT,Orbs,ORBS
ORCA/USDT,Orca,ORCA
ORDI/USDT,ORDI,ORDI
ORDS/USDT,Ordiswap,ORDS
ORN/USDT,Orion,ORN
ORNJ/USDT,Orange,ORNJ
OSMO/USDT,Osmosis,OSMO
OVR/USDT,OVR,OVR
OZO/USDT,Ozone Chain,OZO
OZONE/USDT,Ozonechain,OZONE
PAAL/USDT,PAAL AI,PAAL
PANDORA/USDT,Pandora,PANDORA
PAW/USDT,PAWSWAP,PAW
PAYS/USDT,Payslink,PAYS
PBX/USDT,Probinex,PBX
PEN/USDT,Protocon,PEN
PENDLE/USDT,Pendle,PENDLE
PEOPLE/USDT,ConstitutionDAO,PEOPLE
PEPE/USDT,Pepe,PEPE
PEPEBRC/USDT,PEPE (Ordinals),PEPEBRC
PEPECOMMUNITY/USDT,Pepe Community,PEPECOMMUNITY
PERP/USDT,Perpetual Protocol,PERP
PI/USDT,Pi,PI
PIRI/USDT,Pirichain,PIRI
PIXEL/USDT,Pixels,PIXEL
PIZABRC/USDT,PIZA (Ordinals),PIZABRC
PLANET/USDT,PLANET,PLANET
PLANETS/USDT,PlanetWatch,PLANETS
PLAY/USDT,Play Token,PLAY
PLEX/USDT,MinePlex,PLEX
PLI/USDT,Plugin,PLI
PLXY/USDT,Plxyer,PLXY
